JOBNAME;ExecutableName;BatFile;LogFile;Control-m FOLDER;Control-m APPLICATION;Control-m SUB_APPLICATION
dir.cms.TEST;;DIR;;TEST_DIO_II;TESTING;TESTING
TYPE.DEALING;;type;;TEST_DIO_II;TESTING;TESTING
P.JU.GR.BKTDB.BKTDB.pwd;;pwd;;TEST_DIO_II;TESTING;TESTING
P.JW.GR.TEST.USER.CONTROLM;;DIR;;TEST_DIO_II;TESTING;TESTING
execute_ls;;control/cat/r/prod.sh;;cards_prod/DS_DEMO_PROD;TESTING;
joba;;ls;;cards_prod/change_manager_folder_PROD;TESTING;
jobb;;dir;;cards_prod/change_manager_folder_PROD;TESTING;
prepare_data;;echo;;NBG_DS;TESTING;cross_platform
DAJ00182;;G:\WINSCHED\DCR\DAJ00182\DAJ00182.bat;;DCRD199;SYDIPEL;SYDIPEL
DEXPD198;;G:\WINSCHED\DFR\DEXPD198\DEXPD198.bat;;DCRD167;SYDIPEL;SYDIPEL
EDW_TEST;\\S000013845\WINSCHED\EDO\Packages\EDO_E_FL_SAPBW_CST_INDC_D.dtsx;\\S000013845\winsched\EDO\EDOPD002\EDO_E_FL_SAPBW_CST_INDC_D.bat;\\S000013845\winsched\EDO\EDOPD002\OUTPUT.LOG;EDW_TEST;TESTING;EDW_TEST
P.JW.GR.IAM.INTELLIMATCH.IAMLOADINTELLIMATCH.EXE;;G:\winsched\Intellimatch\IAmLoad\IAmLoadIntellimatch.exe;;P.FL.GR.IAM.INTELLIMATCH;PAYMENTS;PAYMENTS.INTELLIMATCH
P.JW.GR.DTQ.SP_DQ_DROPTEMPTABLES.BAT;;G:\WINSCHED\WN\WNS\WNSPD304\SP_DQ_DropTempTables.bat;;P.FL.GR.DTQ.DATA_QUALITY;DATA_QUALITY_MANAGEMENT;DATA_QUALITY_MANAGEMENT
P.JW.GR.DTQ.SP_DQ_DELETETRIGGERS.BAT;;G:\WINSCHED\WN\WNS\WNSPD332\SP_DQ_DeleteTriggers.bat;;P.FL.GR.DTQ.DATA_QUALITY;DATA_QUALITY_MANAGEMENT;DATA_QUALITY_MANAGEMENT
P.JW.GR.DTQ.DQ_CLEANTABLESDETAILS.BAT;;D:\SAS\sas_repo\DQ_Monitoring\Maintenance\Server\DQ_CleanTablesDetails.bat;;P.FL.GR.DTQ.DATA_QUALITY;DATA_QUALITY_MANAGEMENT;DATA_QUALITY_MANAGEMENT
P.JW.GR.DTQ.DQ_CLEANCSVFILES.BAT;;D:\SAS\sas_repo\DQ_Monitoring\Maintenance\Server\DQ_CleanCSVFiles.bat;;P.FL.GR.DTQ.DATA_QUALITY;DATA_QUALITY_MANAGEMENT;DATA_QUALITY_MANAGEMENT
P.JW.GR.DTQ.DQ_CLEANSERVERLOGFILES.BAT;;D:\SAS\sas_repo\DQ_Monitoring\Maintenance\Server\DQ_CleanServerLogFiles.bat;;P.FL.GR.DTQ.DATA_QUALITY;DATA_QUALITY_MANAGEMENT;DATA_QUALITY_MANAGEMENT
P.JW.GR.WN.MYNBG.CORPORATETOEDW.CMD;;G:\WINSCHED\WN\WNS\WNSPD302\CorporateToEDW.cmd;;P.FL.GR.WNS.MYNBG.WNSPD302;MYNBG;MYNBG
EDWPDW91;\\S000013845\WINSCHED\EDW\Packages\EDW_ETLS_SBSTO_BATCH_LOOP_D.dtsx;\\S000013845\winsched\EDW\EDWPDW91\EDW_ETLS_SBSTO_BATCH_LOOP_D.bat;\\S000013845\winsched\EDW\EDWPDW91\OUTPUT.LOG;EDWDW91;EDW;EDW
EDWPDW92;\\S000013845\winsched\EDW\Packages\EDW_CONTROL_SBSTO_D.dtsx;\\S000013845\winsched\EDW\EDWPDW92\EDW_CONTROL_SBSTO_D.bat;\\S000013845\winsched\EDW\EDWPDW92\OUTPUT.LOG;EDWDW91;EDW;EDW
EDWPDEEW;;\\S000013845\winsched\EDW\EDWPDEEW\EDWPDEEW.bat;\\S000013845\winsched\EDW\EDWPDEEW\OUTPUT.LOG;EDWDW91;EDW;EDW
EDWPDW00;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_PRLST_D.dtsx;\\S000013845\winsched\EDW\EDWPDW00\EDW_E_SBSTO_PRLST_D.bat;\\S000013845\winsched\EDW\EDWPDW00\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW93;\\S000013845\winsched\EDW\Packages\EDW_TL_SBSTO_STG_PARALIST_MAP_D.dtsx;\\S000013845\winsched\EDW\EDWPDW93\EDW_TL_SBSTO_STG_PARALIST_MAP_D.bat;\\S000013845\winsched\EDW\EDWPDW93\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW01;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_PRD_D.dtsx;\\S000013845\winsched\EDW\EDWPDW01\EDW_E_SBSTO_PRD_D.bat;\\S000013845\winsched\EDW\EDWPDW01\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW31;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_PRD_D.dtsx;\\S000013845\winsched\EDW\EDWPDW31\EDW_T_SBSTO_STG_SB_PRD_D.bat;\\S000013845\winsched\EDW\EDWPDW31\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW51;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_PRD_D.dtsx;\\S000013845\winsched\EDW\EDWPDW51\EDW_L_SBSTO_SB_PRD_D.bat;\\S000013845\winsched\EDW\EDWPDW51\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDWLL;;\\S000013845\winsched\EDW\EDWPDWLL\EDWPDWLL.bat;\\S000013845\winsched\EDW\EDWPDWLL\OUTPUT.LOG;EDWDW91;EDW;EDW
EDWPDSSW;;\\S000013845\winsched\EDW\EDWPDSSW\EDWPDSSW.bat;\\S000013845\winsched\EDW\EDWPDSSW\OUTPUT.LOG;EDWDW91;EDW;EDW
EDWPDW71;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_PRD_D.dtsx;\\S000013845\winsched\EDW\EDWPDW71\EDW_S_SBSTO_SB_PRD_D.bat;\\S000013845\winsched\EDW\EDWPDW71\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDS9W;;\\S000013845\winsched\EDW\EDWPDS9W\EDWPDS9W.bat;\\S000013845\winsched\EDW\EDWPDS9W\OUTPUT.LOG;EDWDW91;EDW;EDW
EDWPDW72;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDW72\EDW_S_SBSTO_SB_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW72\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW73;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_X_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDW73\EDW_S_SBSTO_SB_ACC_X_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW73\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW74;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_BLOCKS_D.dtsx;\\S000013845\winsched\EDW\EDWPDW74\EDW_S_SBSTO_SB_ACC_BLOCKS_D.bat;\\S000013845\winsched\EDW\EDWPDW74\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW75;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_DEP_D.dtsx;\\S000013845\winsched\EDW\EDWPDW75\EDW_S_SBSTO_SB_ACC_DEP_D.bat;\\S000013845\winsched\EDW\EDWPDW75\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW76;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_DEP_BAL_D.dtsx;\\S000013845\winsched\EDW\EDWPDW76\EDW_S_SBSTO_SB_ACC_DEP_BAL_D.bat;\\S000013845\winsched\EDW\EDWPDW76\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW77;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_LOAN_D.dtsx;\\S000013845\winsched\EDW\EDWPDW77\EDW_S_SBSTO_SB_ACC_LOAN_D.bat;\\S000013845\winsched\EDW\EDWPDW77\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW78;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_LOAN_BAL_EOD_D.dtsx;\\S000013845\winsched\EDW\EDWPDW78\EDW_S_SBSTO_ACC_LOAN_BAL_EOD_D.bat;\\S000013845\winsched\EDW\EDWPDW78\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW79;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_DEP_RATES_D.dtsx;\\S000013845\winsched\EDW\EDWPDW79\EDW_S_SBSTO_SB_ACC_DEP_RATES_D.bat;\\S000013845\winsched\EDW\EDWPDW79\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7B;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_INST_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7B\EDW_S_SBSTO_SB_ACC_INST_D.bat;\\S000013845\winsched\EDW\EDWPDW7B\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7C;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_COLL_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7C\EDW_S_SBSTO_SB_COLL_D.bat;\\S000013845\winsched\EDW\EDWPDW7C\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7D;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_COLL_X_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7D\EDW_S_SBSTO_SB_COLL_X_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW7D\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7E;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_CST_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7E\EDW_S_SBSTO_SB_CST_D.bat;\\S000013845\winsched\EDW\EDWPDW7E\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7I;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_LOAN_FUT_RATES_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7I\EDW_S_SBSTO_ACC_LOAN_FUT_RATE_D.bat;\\S000013845\winsched\EDW\EDWPDW7I\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7J;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_LOAN_PAY_PLAN_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7J\EDW_S_SBSTO_ACC_LOAN_PAY_PLAN_D.bat;\\S000013845\winsched\EDW\EDWPDW7J\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7K;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_LOAN_RATES_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7K\EDW_S_SBSTO_SB_ACC_LOAN_RATES_D.bat;\\S000013845\winsched\EDW\EDWPDW7K\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7L;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_TD_ARR.dtsx;\\S000013845\winsched\EDW\EDWPDW7L\EDW_S_SBSTO_SB_ACC_TD_ARR.bat;\\S000013845\winsched\EDW\EDWPDW7L\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7M;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_TD_CASH_FLW_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7M\EDW_S_SBSTO_ACC_TD_CASH_FLW_D.bat;\\S000013845\winsched\EDW\EDWPDW7M\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7N;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_BASIC_RATES_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7N\EDW_S_SBSTO_SB_BASIC_RATES_D.bat;\\S000013845\winsched\EDW\EDWPDW7N\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7O;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_CST_INC_EXP_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7O\EDW_S_SBSTO_SB_CST_INC_EXP_D.bat;\\S000013845\winsched\EDW\EDWPDW7O\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7P;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_GL_CONSOL_KEY_LINK_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7P\EDW_S_SBSTO_CONSOL_KEY_LINK_D.bat;\\S000013845\winsched\EDW\EDWPDW7P\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7Q;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_PERIODIC_RATES_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7Q\EDW_S_SBSTO_SB_PERIODIC_RATES_D.bat;\\S000013845\winsched\EDW\EDWPDW7Q\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7R;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_CR_LINE_LMT_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7R\EDW_S_SBSTO_SB_CR_LINE_LMT_D.bat;\\S000013845\winsched\EDW\EDWPDW7R\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7U;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_CST_X_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7U\EDW_S_SBSTO_SB_CST_X_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW7U\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7V;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_ACC_PAN_CRD_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7V\EDW_S_SBSTO_SB_ACC_PAN_CRD_D.bat;\\S000013845\winsched\EDW\EDWPDW7V\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW7Z;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_CURRENCY_D.dtsx;\\S000013845\winsched\EDW\EDWPDW7Z\EDW_S_SBSTO_SB_CURRENCY_D.bat;\\S000013845\winsched\EDW\EDWPDW7Z\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW80;\\S000013845\winsched\EDW\Packages\EDW_S_SBSTO_SB_COUNTRY_D.dtsx;\\S000013845\winsched\EDW\EDWPDW80\EDW_S_SBSTO_SB_COUNTRY_D.bat;\\S000013845\winsched\EDW\EDWPDW80\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW02;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDW02\EDW_E_SBSTO_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW02\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW32;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_ACC_D.DTSX;\\S000013845\winsched\EDW\EDWPDW32\EDW_T_SBSTO_STG_SB_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW32\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW52;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDW52\EDW_L_SBSTO_SB_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW52\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW03;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_ACC_X_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDW03\EDW_E_SBSTO_ACC_X_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW03\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW33;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_ACC_X_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDW33\EDW_T_SBSTO_STG_SB_ACC_X_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW33\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW53;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_ACC_X_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDW53\EDW_L_SBSTO_SB_ACC_X_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW53\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW04;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_ACC_BLOCKS_D.dtsx;\\S000013845\winsched\EDW\EDWPDW04\EDW_E_SBSTO_ACC_BLOCKS_D.bat;\\S000013845\winsched\EDW\EDWPDW04\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW34;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_ACC_BLOCKS_D.dtsx;\\S000013845\winsched\EDW\EDWPDW34\EDW_T_SBSTO_STG_SB_ACC_BLOCKS_D.bat;\\S000013845\winsched\EDW\EDWPDW34\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW54;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_ACC_BLOCKS_D.dtsx;\\S000013845\winsched\EDW\EDWPDW54\EDW_L_SBSTO_SB_ACC_BLOCKS_D.bat;\\S000013845\winsched\EDW\EDWPDW54\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW05;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_ACC_DEP_D.dtsx;\\S000013845\winsched\EDW\EDWPDW05\EDW_E_SBSTO_ACC_DEP_D.bat;\\S000013845\winsched\EDW\EDWPDW05\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW35;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_ACC_DEP_D.dtsx;\\S000013845\winsched\EDW\EDWPDW35\EDW_T_SBSTO_STG_SB_ACC_DEP_D.bat;\\S000013845\winsched\EDW\EDWPDW35\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW55;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_ACC_DEP_D.dtsx;\\S000013845\winsched\EDW\EDWPDW55\EDW_L_SBSTO_SB_ACC_DEP_D.bat;\\S000013845\winsched\EDW\EDWPDW55\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW06;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_ACC_DEP_BAL_D.dtsx;\\S000013845\winsched\EDW\EDWPDW06\EDW_E_SBSTO_ACC_DEP_BAL_D.bat;\\S000013845\winsched\EDW\EDWPDW06\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW36;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_ACC_DEP_BAL_D.dtsx;\\S000013845\winsched\EDW\EDWPDW36\EDW_T_SBSTO_STG_SB_ACC_DEP_BA_D.bat;\\S000013845\winsched\EDW\EDWPDW36\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW56;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_ACC_DEP_BAL_D.dtsx;\\S000013845\winsched\EDW\EDWPDW56\EDW_L_SBSTO_SB_ACC_DEP_BAL_D.bat;\\S000013845\winsched\EDW\EDWPDW56\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW07;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_ACC_LOAN_D.dtsx;\\S000013845\winsched\EDW\EDWPDW07\EDW_E_SBSTO_ACC_LOAN_D.bat;\\S000013845\winsched\EDW\EDWPDW07\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW37;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_ACC_LOAN_D.dtsx;\\S000013845\winsched\EDW\EDWPDW37\EDW_T_SBSTO_STG_SB_ACC_LOAN_D.bat;\\S000013845\winsched\EDW\EDWPDW37\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW57;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_ACC_LOAN_D.dtsx;\\S000013845\winsched\EDW\EDWPDW57\EDW_L_SBSTO_SB_ACC_LOAN_D.bat;\\S000013845\winsched\EDW\EDWPDW57\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW08;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_ACC_LOAN_BAL_EOD_D.dtsx;\\S000013845\winsched\EDW\EDWPDW08\EDW_E_SBSTO_ACC_LOAN_BAL_EOD_D.bat;\\S000013845\winsched\EDW\EDWPDW08\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW38;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_ACC_LOAN_BAL_EOD_D.dtsx;\\S000013845\winsched\EDW\EDWPDW38\EDW_T_SBSTO_STG_ACC_LOAN_BAL_D.bat;\\S000013845\winsched\EDW\EDWPDW38\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW58;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_ACC_LOAN_BAL_EOD_D.dtsx;\\S000013845\winsched\EDW\EDWPDW58\EDW_L_SBSTO_ACC_LOAN_BAL_EOD_D.bat;\\S000013845\winsched\EDW\EDWPDW58\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW09;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_ACC_DEP_RATES_D.dtsx;\\S000013845\winsched\EDW\EDWPDW09\EDW_E_SBSTO_ACC_DEP_RATES_D.bat;\\S000013845\winsched\EDW\EDWPDW09\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW39;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_ACC_DEP_RATES_D.dtsx;\\S000013845\winsched\EDW\EDWPDW39\EDW_T_SBSTO_STG_ACC_DEP_RATES_D.bat;\\S000013845\winsched\EDW\EDWPDW39\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW59;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_ACC_DEP_RATES_D.dtsx;\\S000013845\winsched\EDW\EDWPDW59\EDW_L_SBSTO_SB_ACC_DEP_RATES_D.bat;\\S000013845\winsched\EDW\EDWPDW59\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW0A;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_ACC_LOAN_ACCR_D.dtsx;\\S000013845\winsched\EDW\EDWPDW0A\EDW_E_SBSTO_ACC_LOAN_ACCR_D.bat;\\S000013845\winsched\EDW\EDWPDW0A\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW3A;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_ACC_LOAN_ACCR_D.dtsx;\\S000013845\winsched\EDW\EDWPDW3A\EDW_T_SBSTO_STG_ACC_LOAN_ACCR_D.bat;\\S000013845\winsched\EDW\EDWPDW3A\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW5A;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_ACC_LOAN_ACCR_D.dtsx;\\S000013845\winsched\EDW\EDWPDW5A\EDW_L_SBSTO_SB_ACC_LOAN_ACCR_D.bat;\\S000013845\winsched\EDW\EDWPDW5A\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW0B;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_ACC_INST_D.dtsx;\\S000013845\winsched\EDW\EDWPDW0B\EDW_E_SBSTO_ACC_INST_D.bat;\\S000013845\winsched\EDW\EDWPDW0B\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW3B;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_ACC_INST_D.dtsx;\\S000013845\winsched\EDW\EDWPDW3B\EDW_T_SBSTO_STG_SB_ACC_INST_D.bat;\\S000013845\winsched\EDW\EDWPDW3B\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW5B;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_ACC_INST_D.dtsx;\\S000013845\winsched\EDW\EDWPDW5B\EDW_L_SBSTO_SB_ACC_INST_D.bat;\\S000013845\winsched\EDW\EDWPDW5B\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW0C;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_COLL_D.dtsx;\\S000013845\winsched\EDW\EDWPDW0C\EDW_E_SBSTO_COLL_D.bat;\\S000013845\winsched\EDW\EDWPDW0C\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW3C;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_COLL_D.DTSX;\\S000013845\winsched\EDW\EDWPDW3C\EDW_T_SBSTO_STG_SB_COLL_D.bat;\\S000013845\winsched\EDW\EDWPDW3C\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW5C;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_COLL_D.dtsx;\\S000013845\winsched\EDW\EDWPDW5C\EDW_L_SBSTO_SB_COLL_D.bat;\\S000013845\winsched\EDW\EDWPDW5C\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW0D;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_COLL_X_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDW0D\EDW_E_SBSTO_COLL_X_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW0D\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW3D;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_COLL_X_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDW3D\EDW_T_SBSTO_STG_SB_COLL_X_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW3D\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW5D;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_COLL_X_ACC_D.dtsx;\\S000013845\winsched\EDW\EDWPDW5D\EDW_L_SBSTO_SB_COLL_X_ACC_D.bat;\\S000013845\winsched\EDW\EDWPDW5D\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW0E;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_CST_D.dtsx;\\S000013845\winsched\EDW\EDWPDW0E\EDW_E_SBSTO_CST_D.bat;\\S000013845\winsched\EDW\EDWPDW0E\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW3E;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_CST_D.dtsx;\\S000013845\winsched\EDW\EDWPDW3E\EDW_T_SBSTO_STG_SB_CST_D.bat;\\S000013845\winsched\EDW\EDWPDW3E\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW5E;\\S000013845\winsched\EDW\Packages\EDW_L_SBSTO_SB_CST_D.dtsx;\\S000013845\winsched\EDW\EDWPDW5E\EDW_L_SBSTO_SB_CST_D.bat;\\S000013845\winsched\EDW\EDWPDW5E\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW0F;\\S000013845\winsched\EDW\Packages\EDW_E_SBSTO_FX_RATES_D.dtsx;\\S000013845\winsched\EDW\EDWPDW0F\EDW_E_SBSTO_FX_RATES_D.bat;\\S000013845\winsched\EDW\EDWPDW0F\OUTPUT.log;EDWDW91;EDW;EDW
EDWPDW3F;\\S000013845\winsched\EDW\Packages\EDW_T_SBSTO_STG_SB_FX_RATES_D.dtsx;\\S000013845\winsched\EDW\EDWPDW3F\EDW_T_SBSTO_STG_SB_FX_RATES_D.bat;\\S000013845\winsched\EDW\EDWPDW3F\OUTPUT.log;EDWDW91;EDW;EDW
