FROM_JOB;TO_JOB
CAJ00212.1;CFT00093
CAJ00213;DCBVFTRAV
CAJ00213.1;CFT00094
CAJ00214;CFT00095
CAJ00216;CFT00097
CBADSA00;CBADSA01
CBADSA01;CBADSA02
CBADSA02;CBADSA03
CBADSA03;IFTADSA2
CBADSA04;CBADSA05
CBEACCRU;CBSACCRU_LOOP
CBEACFRP;CBSACFRP_LOOP
CBEBAPCP.1;CBSBAPCP_LOOP.1
CBEBAPCP.2;CBSBAPCP_LOOP.2
CBEBAPCP.3;CBSBAPCP_LOOP.3
CBEBAPCP.4;CBSBAPCP_LOOP.4
CBEBAPCP.5;CBSBAPCP_LOOP.5
CBEBAPCP.6;CBSBAPCP_LOOP.6
CBEBAPCP.7;CBSBAPCP_LOOP.7
CBEBAPCP.8;CBSBAPCP_LOOP.8
CBEBAPCPZ;CBSBAPCPZ_LOOP
CBEBDSPS;CBSBDSPS_LOOP
CBEBTAS2;CBSBTAS2_LOOP
CBEBTAS3;CBSBTAS3_LOOP
CBEBTAS4;CBSBTAS4_LOOP
CBEBTAS5;CBSBTAS5_LOOP
CBEBTASL;CBSBTASL_LOOP
CBECAACS;CBSCAACS_LOOP
CBECCADD;CBSCCADD_LOOP
CBECCBLD;CBSCCBLD_LOOP
CBECCDR1;CBSCCDR1_LOOP
CBECCSLD;CBSCCSLD_LOOP
CBECHSOL;CBSCHSOL_LOOP
CBECIFDM;CBSCIFDM_LOOP
CBECLCBJ;CBSCLCBJ_LOOP
CBECLEFG;CBSCLEFG_LOOP
CBECLFRD;CBSCLFRD_LOOP
CBECLFRD;CBSCLFRD_LOOP-A
CBECLLAB;CBSCLLAB_LOOP
CBECLPRE;CBSCLPRE_LOOP
CBECLPRE;CBSCLPRE_LOOP-A
CBECLRNF;CBSCLRNF_LOOP
CBECLRNP;CBSCLRNP_LOOP
CBECLRNQ;CBSCLRNQ_LOOP
CBECLRPR;CBSCLRPR_LOOP
CBECMBOD;CBSCMBOD_LOOP
CBECMSOD;CBSCMSOD_LOOP
CBECPBCO;CBSCPBCO_LOOP
CBECPSCO;CBSCPSCO_LOOP
CBECTRAN;CBSCTRAN_LOOP
CBEDCTBL;CBSDCTBL_LOOP
CBEDENDO;CBSDENDO_LOOP
CBEDENOC;CBSDENOC_LOOP
CBEDIAS2;CBSDIAS2_LOOP
CBEDIAS3;CBSDIAS3_LOOP
CBEDTRAN;CBSDTRAN_LOOP
CBEE1BUP;CBSE1BUP_LOOP
CBEE1TRN;CBSE1TRN_LOOP
CBEE1W148;CBSE1W148_LOOP
CBEE1WS04;CBSE1WS04_LOOP
CBEE2W148;CBSE2W148_LOOP
CBEE2WS04;CBSE2WS04_LOOP
CBEE3BUP;CBSE3BUP_LOOP
CBEE3W148;CBSE3W148_LOOP
CBEE3WS04;CBSE3WS04_LOOP
CBEE4BUP;CBSE4BUP_LOOP
CBEE4W148;CBSE4W148_LOOP
CBEE5BUP;CBSE5BUP_LOOP
CBEE5W148;CBSE5W148_LOOP
CBEE6BUP;CBSE6BUP_LOOP
CBEE6W148;CBSE6W148_LOOP
CBEE7W148;CBSE7W148_LOOP
CBEE8W148;CBSE8W148_LOOP
CBEE9W148;CBSE9W148_LOOP
CBEEAAP1;CBSEAAP1_LOOP
CBEEAAP2;CBSEAAP2_LOOP
CBEEAAPE;CBSEAAPE_LOOP
CBEEAAPE;CBSEAAPE_LOOP-NW
CBEEACC2;CBSEACC2_LOOP
CBEEACCZ;CBSEACCZ_LOOP
CBEEACZ2;CBSEACZ2_LOOP
CBEEADSL;CBSEADSL_LOOP
CBEEADSP;CBSEADSP_LOOP
CBEEALNF;CBSEALNF_LOOP
CBEEALNP;CBSEALNP_LOOP
CBEEAODM;CBEEAODM_LOOP
CBEEAODM_LOOP;CBEEAODQ
CBEEAODQ;CBEEAODQ_LOOP
CBEEAODQ_LOOP;CBEEAODW
CBEEAODW;CBEEAODW_LOOP
CBEEARCH;CBSEARCH_LOOP
CBEEBACO;CBSEBACO_LOOP
CBEEBAKO;CBSEBAKO_LOOP
CBEEBFGL;CBSEBFGL_LOOP
CBEEBNKO;CBSEBNKO_LOOP
CBEEBNKU;CBSEBNKU_LOOP
CBEEBQUE;CBSEBQUE_LOOP
CBEEBQUF;CBSEBQUF_LOOP
CBEEBQUG;CBSEBQUG_LOOP
CBEEBQUH;CBSEBQUH_LOOP
CBEEBRUP;CBSEBRUP_LOOP
CBEECAAS;CBSECAAS_LOOP
CBEECARI;CBSECARI_LOOP
CBEECASA;CBSECASA_LOOP
CBEECBLD;CBSECBLD_LOOP
CBEECBPT;CBSECBPT_LOOP
CBEECCSA;CBSECCSA_LOOP
CBEECDEN;CBSECDEN_LOOP
CBEECDGF;CBSECDGF_LOOP
CBEECDGP;CBSECDGP_LOOP
